LON,LAT,ANNUAL
-39.909,-11.812,5025
-39.611,-11.832,5111
-39.382,-11.807,5117
-39.121,-11.805,5133
-38.887,-11.774,5065
-38.356,-11.791,5124
-37.951,-1.179,5143
-37.613,-11.818,5359
-44.912,-1.175,5848
-4.177,-11.686,5595
-41.469,-11.692,5585
-40.555,-11.731,5008
-40.150,-1.171,5021
-39.835,-11.666,5075
-39.191,-11.749,5121
-39.010,-11.659,5141
-38.020,-1.166,5171
-38.081,-11.661,5171
-43.277,-11.557,5969
-42.020,-11.644,5603
-40.139,-1.161,5068
-39.630,-11.608,5156
-39.281,-11.560,5163
-38.805,-11.622,5142
-38.581,-1.160,5139
-37.786,-11.562,5223
-41.975,-11.542,5709
-41.157,-11.549,5247
-40.319,-11.527,4980
-40.024,-11.505,5074
-39.783,-11.471,5151
-39.527,-11.465,5134
-39.428,-11.494,5145
-39.078,-11.528,5182
-38.997,-1.148,5183
-38.152,-11.506,5189
-37.934,-11.482,5218
-4.251,-11.435,5992
-4.183,-11.386,5751
-41.439,-11.443,5618
-40.597,-11.431,5171
-4.030,-11.417,4992
-40.126,-11.411,5091
-40.009,-11.380,5102
-39.465,-11.413,5150
-38.327,-11.359,5190
-42.136,-11.340,5829
-41.985,-11.293,5789
-41.854,-11.304,5772
-41.655,-11.349,5759
-40.944,-11.256,5343
-39.375,-11.251,5157
-38.960,-11.333,5202
-38.218,-11.310,5220
-41.880,-11.227,5774
-4.051,-11.182,5251
-3.848,-11.238,5223
-43.146,-11.086,5969
-4.211,-1.114,5836
-40.432,-11.068,5079
-38.518,-11.104,5208
-45.190,-11.043,5789
-44.521,-10.996,5865
-42.400,-11.010,6006
-41.971,-11.044,5846
-41.081,-10.970,5419
-40.575,-10.954,5274
-40.298,-11.028,5118
-39.630,-1.097,5200
-38.790,-10.959,5325
-38.425,-11.043,5146
-40.420,-10.941,5202
-40.133,-10.862,5168
-42.725,-10.823,6021
-39.430,-10.826,5247
-39.210,-10.753,5255
-38.539,-10.838,5219
-44.043,-10.723,5809
-4.363,-10.718,5901
-41.326,-10.731,5592
-40.368,-10.744,5092
-40.133,-10.740,5188
-39.854,-10.691,5225
-39.495,-10.665,5254
-3.829,-10.681,5222
-37.863,-10.686,5219
-40.276,-10.572,5124
-38.613,-1.058,5281
-38.383,-10.595,5224
-38.212,-1.059,5206
-40.320,-1.051,5324
-40.187,-10.460,5145
-39.016,-10.508,5360
-38.116,-10.536,5213
-39.332,-10.438,5294
-38.332,-10.413,5228
-38.205,-10.369,5241
-40.195,-10.259,5264
-39.834,-10.344,5311
-3.842,-10.335,5227
-37.925,-10.284,5258
-3.835,-10.076,5287
-4.248,-1.000,6018
-37.894,-10.012,5248
-39.028,-9.899,5412
-39.480,-9.842,5487
-41.879,-9.742,6010
-38.129,-974,5360
-42.085,-9.620,5950
-43.009,-952,5887
-40.795,-9.469,5811
-40.504,-9.417,5767
-38.222,-9.399,5539
-38.260,-9.343,5596
-40.974,-9.174,5774
-39.053,-9.163,5565
-39.905,-899,5664
-39.098,-8.970,5615
-38.780,-8.851,5796
-39.115,-8.724,5823
-39.072,-7.829,5743
-39.006,-7.686,5712
-39.277,-7.586,5709
-39.116,-7.534,5764
-38.986,-749,5869
-39.049,-7.361,5903
-38.771,-7.386,5886
-4.046,-7.284,5713
-39.309,-7.301,5831
-38.942,-7.301,5891
-40.136,-7.214,5738
-39.738,-7.184,5708
-39.410,-723,5848
-39.316,-7.219,5875
-39.141,-7.249,5867
-38.779,-718,5875
-40.376,-7.072,5789
-40.028,-709,5775
-39.675,-7.089,5861
-39.736,-6.999,5852
-39.283,-7.034,5849
-39.871,-6.871,5812
-39.565,-6.922,5833
-39.218,-6.889,5885
-38.975,-6.934,5897
-39.987,-6.775,5759
-39.295,-6.790,5893
-38.718,-6.783,5965
-39.758,-6.683,5784
-38.971,-6.745,5936
-3.871,-6.720,5974
-40.122,-6.569,5719
-39.061,-6.601,5936
-38.701,-6.639,5934
-39.902,-654,5756
-3.953,-6.521,5802
-39.497,-6.533,5830
-39.290,-6.363,5851
-38.856,-6.397,5918
-40.166,-6.317,5683
-38.906,-6.252,5889
-40.691,-6.208,5622
-39.201,-6.247,5861
-3.987,-6.123,5710
-39.448,-6.090,5721
-40.297,-5.986,5638
-38.463,-6.036,5931
-38.346,-6.028,5908
-39.257,-5.915,5764
-3.862,-5.903,5908
-40.701,-5.843,5540
-39.417,-5.801,5693
-38.292,-5.813,5912
-39.630,-5.739,5657
-39.188,-5.673,5760
-3.901,-5.719,5807
-38.158,-5.713,5921
-39.371,-5.583,5680
-38.764,-5.606,5911
-40.772,-5.526,5564
-39.708,-5.454,5594
